nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Armando Águilar Valadez",4032324,4,Armandovaladez@marmol.com,Armandovaladez,a3aP247nMaOS,,4418,Vacaciones,,318000,6
"Ramón Leyva Vásquez",11206179,7,,ralevá,f9ebAm7Fj0fOeGI,,5685,Aniversario,,1990000,10
"Sta. Hernán Galván Suárez",23231601,2,sta.9752@marmol.com,sthegasu,JEDpvV068,,5384,Aniversario,,942000,6
"Germán Haro Olvera",20304482,8,,Germánolvera,VU0na1S5oc,,2632,"Salida con Familia",,192000,2
"Sofia Carrillo Rendón",21756889,7,,Sofiarendón,TDs5Hq7VVI,,4913,"Salida con Familia",,459000,3
"Timoteo Alvarado Laureano",27229853,0,timoteo9401@outluc.com,timoteo7164,TOjeRZ9v,,8636,"Cena de Trabajo",,174000,3
"Soledad Valenzuela Peres",12434191,4,Soledadperes@outluc.com,soledad8814,IePVb3mulwYDRqmz,,7896,"Cena de Trabajo",,82000,2
"César Delafuente Ponce",21577875,4,,cédepo,2mLm1rh7iTIHzVd0,,1930,"Salida con Familia",,70000,2
"Sra. Roberto Mena Sanabria",7480874,3,,sra.8515,zRVWwYf5OxM05,,5044,"Salida con Amigos",,445000,5
"Ariadna Mendoza Alba",23210207,1,ariadna3601@viajesanma.com,armeal,pE6z5vp9BSGucUZ,,2391,"Salida con Amigos",,336000,6
"Sra. Esperanza Muro Tijerina",18945900,9,Sra.tijerina@marmol.com,Sra.tijerina,QUDJpqfRK3YajyPI,,261,"Cena de Trabajo",,749000,7
"Julio Aragón Rael",21916619,2,juarra@outluc.com,Juliorael,93MKcinEshbekK3,,335,Aniversario,,1302000,7
"Sr. Ramón Gollum Zamudio",22305144,8,sr.4997@viajesanma.com,sr.6880,Sjhhk6VY2Ce,,5480,Aniversario,,705000,5
"Mario Cintrón Burgos",20668590,5,mario2957@viajesanma.com,macibu,5cfryo9vN3w5VAsw,,417,Vacaciones,,1253000,7
"Marcela Báez Delrío",26805977,6,,Marceladelrío,t5NQCwr7,,4931,"Cena de Trabajo",,1520000,8
"Santiago Valenzuela Ocasio",8965832,2,savaoc@wass.com,Santiagoocasio,X0Eral7tHtnBN,,2427,Vacaciones,,384000,4
"Luz Montenegro Gastélum",281102,2,lumoga@tourket.com,luz4774,VBrErallh6c79e,,5615,"Cena de Trabajo",,105000,1
"Leticia Morales Montañez",4515034,8,leticia4143@viajesanma.com,Leticiamontañez,qUsO3v3t2F9o1Sb,,6827,Vacaciones,,744000,8
"Sta. José Eduardo Barela Guevara",28260750,6,Sta.guevara@viajesanma.com,sta.4091,yDtLJkxcKWO6sZ,,2138,Aniversario,,414000,3
"Alejandra Niño Montoya",15619157,4,alejandra9264@edubus.cal,alnimo,3rYhYd2Wy6iv,,3063,Aniversario,,280000,5
"Eduardo Serna Alejandro",27466408,8,Eduardoalejandro@tourket.com,eduardo2214,JocjK7N9er1j4RPZ,,3104,Aniversario,,864000,9
"María del Carmen Maldonado Magaña",18965226,7,,Maríamagaña,rxq6lJOx5J66f7,,8784,"Salida con Amigos",,376000,2
"Julio Gracia Vásquez",18227125,0,julio6297@edubus.cal,jugrvá,JcOp71FF,,4865,"Salida con Amigos",,1020000,10
"Gregorio Piña Fonseca",4545040,6,gregorio5346@viajesanma.com,Gregoriofonseca,0wa4AAxHcrm,,8740,"Salida con Amigos",,342000,6
"Daniela Carreón Cervántez",24151748,9,,daniela8828,yON9ur61,,8066,"Salida con Familia",,292000,2
"Diego Santiago Alejandro",22048461,0,Diegoalejandro@wass.com,Diegoalejandro,ESyAVu11u,,6297,"Cena de Trabajo",,790000,5
"Eva Delao Santacruz",28419503,5,,eva9802,tR0ogNcw4T,,4592,"Salida con Amigos",,762000,6
"Lucas Guerra Pizarro",27185943,0,,lugupi,fzYz2nI5DyWnW,,5070,"Salida con Amigos",,387000,3
"Margarita Alcala Ochoa",25810166,9,margarita8368@viajesanma.com,Margaritaochoa,qgaN28iu564Gx,,2918,"Salida con Familia",,590000,10
"Elsa Abreu Contreras",9379228,9,Elsacontreras@wass.com,Elsacontreras,2XJTD4gx8hvYTy,,3512,Aniversario,,1125000,9
"Sta. Daniela Zambrano Amador",1384200,0,,Sta.amador,8vTpvSj9TS8,,3901,Aniversario,,151000,1
"Marcela Tovar Correa",5963983,8,matoco@wass.com,marcela3896,yQ3kQxsA8B,,8076,Vacaciones,,1910000,10
"Elisa Mondragón Barela",1727501,1,Elisabarela@tourket.com,elisa2287,jLi37EX1XTYTWV,,5139,"Cena de Trabajo",,166000,1
"Sta. Virginia Moreno Irizarry",20814171,6,stvimoir@marmol.com,sta.9927,FECcYF8h11,,6909,"Salida con Amigos",,237000,3
"Irene Pagan Canales",9807335,3,irene9434@wass.com,irene1659,DQzA475tElEb,,9094,"Cena de Trabajo",,432000,8
"Leonor Moya Correa",1201989,0,,Leonorcorrea,350RjD9vftWSfUh,,6238,Vacaciones,,693000,7
"Laura Arriaga Cisneros",12231617,3,,laura7461,ia8RXTJja3l3fd,,2039,"Salida con Familia",,124000,1
"Sta. Luisa Hinojosa Menéndez",13705314,4,sta.3163@viajesanma.com,stluhime,pz42UwCyXd2X6,,8575,"Cena de Trabajo",,286000,2
"Antonio Zelaya Romo",1322170,7,anzero@edubus.cal,anzero,eqa4sJmBa4,,2178,Vacaciones,,1570000,10
"Carlota Meléndez Cruz",24290434,6,carlota2768@tourket.com,camecr,XrwU4KV8P,,3653,Vacaciones,,194000,1
"Alejandro Badillo Miranda",19126957,8,alejandro7239@tourket.com,alejandro3406,ReltStGv2iBWp,,8441,"Salida con Amigos",,450000,5
"Miguel Galarza Santillán",23233704,4,,miguel9769,cGKW1bcCFqV,,5944,Vacaciones,,816000,6
"Sra. Norma Ríos Murillo",2201270,3,,sra.4368,kroUGR7fXtiT7,,7976,"Salida con Amigos",,76000,1
"Carla Gamboa Villagómez",6807615,3,,Carlavillagómez,uq3r2VpPLxQTFsb,,798,Aniversario,,858000,6
"Sr. Manuel Almaraz Godoy",13433658,7,srmaalgo@marmol.com,srmaalgo,0dGQVBRvkq7q53,,7436,"Cena de Trabajo",,900000,9
"Sara Ceballos Chacón",27734474,2,,sacech,B4TtZJGv51,,2498,"Cena de Trabajo",,1870000,10
"Hugo Laboy Almonte",19346217,0,hulaal@viajesanma.com,hugo9610,dfaqO8JG2Irjn,,3018,Aniversario,,519000,3
"Sr. Isabel Santacruz Roybal",22606319,6,,sr.6062,naAqFjNCZwd8Q2oP,,824,"Salida con Familia",,480000,4
"Sta. María Soledad Robledo Velasco",6153154,8,,Sta.velasco,NRv2nN6VDsA5yAMs,,2737,"Cena de Trabajo",,148000,1
"Sr. Guillermo de Anda Ledesma",2548459,2,srgudeanle@edubus.cal,srgudeanle,zrky1dhbmlo6fjEb,,3726,"Salida con Amigos",,676000,4
"Ramona Brito Flores",9717094,0,rabrfl@viajesanma.com,rabrfl,mtM5QirMAj,,5577,"Cena de Trabajo",,40000,8
"Marcela Armijo Valadez",25695531,8,maarva@marmol.com,maarva,QrguPakRg2iQGH,,9009,Vacaciones,,416000,4
"Sta. Javier Salcedo Padrón",20467390,0,sta.4200@wass.com,Sta.padrón,VaRGuVlvQU4Z61F,,9288,Aniversario,,1215000,9
"María José Vallejo Polanco",9909544,0,majovapo@edubus.cal,Maríapolanco,n2ply4pCFiV,,6685,Vacaciones,,420000,3
"Germán Zúñiga Menchaca",19471583,8,,Germánmenchaca,XtZQ1JsqMQQ,,2766,"Salida con Familia",,600000,5
"Patricia Maya Palacios",25911508,6,pamapa@viajesanma.com,Patriciapalacios,0IY9yeBh,,8911,Vacaciones,,704000,4
"Dolores Samaniego Aguirre",1466326,6,Doloresaguirre@wass.com,Doloresaguirre,5mKRpn4vbFybp8m,,8155,"Cena de Trabajo",,369000,3
"Gloria Montez Figueroa",26481552,5,glmofi@tourket.com,glmofi,Joi1KeAwCU24J,,3347,Vacaciones,,1251000,9
"José Delvalle Cordero",6753692,4,jodeco@wass.com,jodeco,ajkq7K6eK,,9481,Aniversario,,62000,1
"Jacobo Ornelas Quiñones",23012991,6,jaorqu@viajesanma.com,Jacoboquiñones,ZICzq56U7GVn,,9443,Vacaciones,,1256000,8
"Mario Enríquez Zamora",27747666,5,maenza@wass.com,maenza,Pun2h95U5W,,3255,Vacaciones,,1575000,9
"Bernardo Alejandro Montero",8545279,7,,bealmo,kzLF0eK20BQ6X1NO,,2068,"Cena de Trabajo",,432000,8
"Eloisa Cano Griego",21121205,5,,Eloisagriego,ZvE1cvyT3GIEQy,,7969,Aniversario,,378000,3
"Raquel Rascón Aponte",5982305,1,,Raquelaponte,SI89QON8TKfOg9,,9951,Aniversario,,268000,4
"Sancho Cano Luna",27003492,6,sancho4123@tourket.com,Sancholuna,4ZqQn7ZpwFMdi,,3371,Aniversario,,636000,4
"Julio César Covarrubias Raya",15217546,9,,julio4517,LH70eiIvKrF6A,,1237,Vacaciones,,672000,6
"Esteban Ruelas Téllez",5182171,8,esteban2087@outluc.com,esteban8012,47hgE27mwf7K9K,,8978,"Cena de Trabajo",,1344000,8
"David Ballesteros Rico",11027777,6,dabari@marmol.com,david9160,K19US5s50hRciqy,,8718,Aniversario,,690000,5
"Sra. Reina Rentería Rodríquez",8452352,6,sra.8598@outluc.com,sra.2130,Zuv2P1inwZ2,,1410,Vacaciones,,413000,7
"Germán Valdez Serrato",22209096,2,gevase@tourket.com,Germánserrato,5AGjpialFdlWDi,,3507,Vacaciones,,1220000,10
"Cristian Soliz Barragán",27066358,3,,crsoba,AC4SdrBL6c,,2895,"Salida con Familia",,100000,1
"Débora Jasso Viera",11724791,0,,débora5815,UrV78sAfEmG,,5637,Vacaciones,,280000,5
"Julio Aragón Rael",21916619,2,,Juliorael,93MKcinEshbekK3,,335,Aniversario,,185000,1
"Gerardo Niño Flores",13124873,3,,genifl,D16z4v4CuGk4A0TN,,9908,"Salida con Amigos",,345000,5
"Sta. Lucas Delagarza Rivero",25400773,0,stluderi@edubus.cal,stluderi,dWI5xMqHLi122z,,7460,Aniversario,,513000,3
"Florencia Sanabria Rojas",6701568,1,florencia4714@outluc.com,flsaro,KXLUxHboAqzyY8np,,9382,"Salida con Amigos",,1940000,10
"Antonia Camacho Olvera",11466011,6,,Antoniaolvera,8SRlqeZPdHNV,,7301,"Salida con Amigos",,785000,5
"Sta. Esperanza Alcaraz Alicea",3735121,0,stesalal@marmol.com,stesalal,R71Xz7Pn,,5245,"Salida con Familia",,52000,1
"Luis Miguel Carvajal Alaniz",14667912,9,,luis8211,nbjNkUmxb1ORl,,3577,Aniversario,,300000,4
"Tomás Otero Vázquez",3590779,3,,tomás436,M9dWNP4i8s5U0O,,2551,"Cena de Trabajo",,828000,6
"Soledad Ávila Mota",14815363,9,,Soledadmota,2KWoHGBLJNHoM3S,,8492,Vacaciones,,1048000,8
"José María Negrón Tapia",1744189,2,,jomaneta,TEwOYH36fxqT,,267,Aniversario,,385000,5
"Marta Rivero Reséndez",15321666,5,,marta9104,f5ZD8jU8,,3395,"Salida con Amigos",,1560000,8
"Lucas Gamboa Godoy",13354191,8,lucas3349@marmol.com,Lucasgodoy,YHJF5FcoeGu4woC,,4191,Aniversario,,1393000,7
"Sta. Inés Medrano Vera",22369008,4,,sta.9493,AtRES12X,,1199,"Cena de Trabajo",,828000,6
"Horacio Enríquez Cavazos",14907196,2,horacio9736@marmol.com,hoenca,pHYDV79XjD,,4338,"Cena de Trabajo",,1674000,9
"Sra. Isabela Cabán Ávila",10860760,2,,sriscaáv,VHrZ6R81c,,2111,Vacaciones,,1000000,10
"Tomás Otero Vázquez",3590779,3,,tomás436,M9dWNP4i8s5U0O,,2551,"Salida con Familia",,1395000,9
"Horacio Bernal Jasso",2754374,0,horacio6773@outluc.com,Horaciojasso,QozhDC7D,,226,Vacaciones,,576000,4
"Ernesto Jiménez Rodarte",18719169,6,,ernesto7650,5O2UxNKg8,,2647,"Salida con Amigos",,424000,8
"Clemente Vallejo Ávalos",15464524,1,,clemente4599,74OMfY8POm,,4508,"Cena de Trabajo",,1248000,8
"Sra. Lola Sarabia Puente",6660428,4,,sra.7383,nbcbvtSeKb2OtKo9,,7868,"Salida con Amigos",,680000,5
"Alejandro Naranjo Ureña",13621673,2,,alnaur,pVcwN5LJ,,5227,"Salida con Familia",,558000,9
"Francisca Saldivar Mercado",1849114,1,,frsame,VFn77eKv,,8818,Aniversario,,763000,7
"Cristina Gallegos Orosco",28041464,6,Cristinaorosco@outluc.com,cristina4512,oF0ajGyeLJvr,,9365,"Salida con Amigos",,561000,3
"Eduardo Lira Robledo",8086250,4,Eduardorobledo@tourket.com,Eduardorobledo,OtOtafHlzJ3Y,,5385,"Cena de Trabajo",,346000,2
"Lourdes Huerta Padilla",15807199,1,lourdes4482@outluc.com,lohupa,mP3peISDv,,9233,Vacaciones,,870000,6
"Silvia Cabán Peralta",7593607,9,Silviaperalta@viajesanma.com,sicape,S5pe1iM2TKAYRh5,,9541,Aniversario,,612000,4
"Margarita Loera Méndez",27912225,9,,margarita1624,uOpA8MUpElqqZh6D,,947,"Cena de Trabajo",,552000,4
"Marcela Escalante Arellano",24174749,2,maesar@outluc.com,Marcelaarellano,TvAKi02D,,1394,"Salida con Amigos",,742000,7
"Mario Contreras Jiménez",24088821,1,,Mariojiménez,MOXQBEh9pILh,,3749,"Salida con Familia",,1467000,9
"Elena Rocha Carrasquillo",12709690,2,elena3446@tourket.com,Elenacarrasquillo,7opRvgbUG,,6925,"Salida con Familia",,630000,5
"Luis Lozada Bétancourt",8807249,9,luis2142@marmol.com,luis740,Hj6ZrH15G54J9c4,,2024,Vacaciones,,1760000,10
"Vicente Escobedo Arredondo",14604358,5,viesar@viajesanma.com,viesar,qsdL7kdSRIkY,,6423,Aniversario,,815000,5
"Ernesto Arguello Flores",16743225,5,Ernestoflores@viajesanma.com,ernesto2335,VtJ8N44uhIQa6,,630,"Salida con Familia",,105000,1
"Guillermo Carmona Baca",28593857,0,,gucaba,qQs4Sm3136ESsSZz,,8295,"Cena de Trabajo",,935000,5
"Josefina Zamora Valdez",15498801,7,josefina9036@edubus.cal,josefina9024,0z5BH3FSNcquGLf,,2926,Vacaciones,,132000,2
"Ramiro Ojeda Tafoya",7291114,8,Ramirotafoya@edubus.cal,ramiro918,IV5AyfM4Qxx6foW,,2207,Vacaciones,,511000,7
"Sonia Huerta Rico",9885044,9,sohuri@viajesanma.com,Soniarico,yI6X9ONvtz,,2537,"Salida con Amigos",,1017000,9
"Lorenzo Villarreal Dávila",20039370,8,,lorenzo8138,H5XJ3KxGLp,,6220,"Cena de Trabajo",,485000,5
"Sofia Crespo Gil",19580103,7,,Sofiagil,pbNLLFxB2Xkb,,7250,"Cena de Trabajo",,870000,5
"Eva Romero Maya",12000191,4,Evamaya@edubus.cal,eva7413,NVKSRi6YR3,,9309,"Salida con Amigos",,1791000,9
"Diego Santiago Alejandro",22048461,0,Diegoalejandro@wass.com,Diegoalejandro,ESyAVu11u,,6297,Aniversario,,800000,8
"Conchita Vásquez Flórez",5543398,4,,cováfl,CEgHT0Jm,,8056,"Salida con Amigos",,518000,7
"Sta. Carmen Laureano Valencia",12052431,3,sta.2662@edubus.cal,Sta.valencia,k34YxDnmTfP,,7247,"Salida con Amigos",,318000,2
"Sta. Daniela Zambrano Amador",1384200,0,sta.7229@tourket.com,Sta.amador,8vTpvSj9TS8,,3901,"Salida con Familia",,1110000,10
"Horacio Orellana Limón",23485244,2,,hoorli,6hWvxS6d5aJCpH2,,9886,"Cena de Trabajo",,426000,3
"Horacio Alicea Cano",1079936,8,hoalca@wass.com,hoalca,GV0uveg6KS,,5828,Vacaciones,,90000,9
"Sr. Alejandra Almaraz Anaya",15626943,3,Sr.anaya@marmol.com,sr.4583,KGHl5znJNuLQB,,1839,"Salida con Amigos",,822000,6
"Silvia Ontiveros Jurado",8478209,2,,Silviajurado,R89Whqh1aYAJ,,4914,Vacaciones,,770000,10
"Gabriela Duarte Carrero",1112842,4,Gabrielacarrero@viajesanma.com,Gabrielacarrero,MBMl6yHcIoS,,8597,"Cena de Trabajo",,1341000,9
"Lorena Serna Anaya",21829581,9,,lorena4207,1O8D56IZ8d0w,,2995,"Cena de Trabajo",,190000,5
"Sta. Ramón Pineda de Anda",9867680,5,strapidean@tourket.com,strapidean,BaZezig1Wg,,5189,"Salida con Amigos",,462000,3
"Tomás Tejeda Samaniego",18595874,4,totesa@marmol.com,tomás3160,sBDmRuywe8uW,,3985,"Cena de Trabajo",,340000,2
"Rosa Cardona Loya",29725884,2,rocalo@edubus.cal,Rosaloya,Nn857ZreP,,7927,Aniversario,,507000,3
"Sta. Graciela Rentería Espinosa",17669275,8,sta.529@wass.com,Sta.espinosa,OezGxcxUMoYQ0,,2061,"Salida con Amigos",,952000,7
"Leonor Moya Correa",1201989,0,lemoco@marmol.com,Leonorcorrea,350RjD9vftWSfUh,,6238,"Salida con Familia",,640000,8
"Carlos Morales Aponte",26992648,1,camoap@wass.com,carlos6228,koLjgJcHJ8KJGvJU,,9884,Aniversario,,864000,8
"Sta. Juan Zamora Nájera",13913752,3,,stjuzaná,UpCFL816jUoTb,,8680,"Salida con Amigos",,695000,5
"Isabel Ontiveros Jiménez",4300455,7,isabel9164@viajesanma.com,isabel7276,jCp2OTbo0e,,6074,Vacaciones,,1552000,8
"Sonia Leal Quezada",7564341,1,,sonia767,UrMJCW15xq7H236Q,,6583,Vacaciones,,125000,1
"Daniela Garza de Anda",24707022,2,dagadean@wass.com,dagadean,K6cnQqMkdC3bk,,5326,Aniversario,,216000,6
"Sr. Reina Anguiano Tovar",2816156,5,,Sr.tovar,OSIiqbuwCQ3o,,6586,"Salida con Amigos",,847000,7
"Juana Rico Escamilla",17141697,3,,juana6512,Pi9pDqAnQ6gbE,,208,Vacaciones,,330000,6
"Sr. Carlos Menchaca Meza",12911189,5,sr.462@viajesanma.com,srcameme,U5Kbew8YYaqqP,,9233,Vacaciones,,438000,6
"Germán Valdez Serrato",22209096,2,gevase@tourket.com,Germánserrato,5AGjpialFdlWDi,,3507,Vacaciones,,100000,1
"Sra. Rocio Solano Fonseca",28523820,0,sra.4182@edubus.cal,Sra.fonseca,mM2lZMYk0p,,9605,"Salida con Familia",,882000,6
"Luz Montemayor Estrada",9657447,9,lumoes@wass.com,Luzestrada,PYwvOQksN1r3a,,9964,Aniversario,,348000,4
"Sra. Débora Palacios Regalado",4223874,0,Sra.regalado@marmol.com,sra.7860,Fq4X10hvkW,,1269,"Salida con Familia",,1404000,9
"Jerónimo Archuleta Araña",4811872,0,,Jerónimoaraña,GBFxx69jXfF3g8,,1818,Vacaciones,,355000,5
"Sra. Timoteo Cardenas Valdés",220970,5,srticava@viajesanma.com,srticava,Ga0gWZ3YqU,,8357,Vacaciones,,320000,2
"Clemente Mateo Holguín",20270857,9,clmaho@edubus.cal,clemente9000,Kw4GeAJ6,,3227,Aniversario,,1316000,7
"Mayte Niño Casares",4705318,8,manica@edubus.cal,Maytecasares,oWUWX4MhOn,,403,"Cena de Trabajo",,672000,4
"David Apodaca Ledesma",14986846,1,Davidledesma@outluc.com,daaple,a0aXLCf2U,,3722,Aniversario,,632000,4
"Esteban Carrillo Villegas",10694768,6,,esteban7445,Ol6ptC2wju,,8086,"Salida con Familia",,150000,2
"Luisa Moreno Delapaz",11061276,1,lumode@viajesanma.com,luisa5576,9noKhT03V7w,,4485,"Salida con Amigos",,35000,5
"Eduardo Lira Robledo",8086250,4,,Eduardorobledo,OtOtafHlzJ3Y,,5385,"Salida con Amigos",,700000,4
"Sr. Sara Zamora Carrasquillo",4614875,4,,sr.2513,8Bdy8a5mtu,,3202,"Salida con Amigos",,156000,2
"Marilu Alonso Amador",3044960,6,maalam@viajesanma.com,maalam,L6jQFtTYlcuv7m,,7514,"Cena de Trabajo",,1560000,8
"Lourdes Huerta Padilla",15807199,1,lourdes4482@outluc.com,lohupa,mP3peISDv,,9233,Vacaciones,,69000,1
"Silvia Prado Núñez",12875314,1,,Silvianúñez,P0EU3v587JAmSdcd,,388,"Salida con Familia",,354000,2
"Benjamín Delgadillo Mateo",18649247,1,,bedema,uJ4m3Vauw4SsKn,,9244,Vacaciones,,572000,4
"Sta. Catalina Paz Cortés",6536692,4,stcapaco@edubus.cal,stcapaco,qKVoZ7y8ff,,7694,"Cena de Trabajo",,507000,3
"Sr. Reina Anguiano Tovar",2816156,5,sr.5629@outluc.com,Sr.tovar,OSIiqbuwCQ3o,,6586,"Cena de Trabajo",,282000,2
"Juan Carlos Urrutia Portillo",29990360,5,Juanportillo@viajesanma.com,Juanportillo,GisKq2b4f0dw4,,1523,Aniversario,,142000,1
"Leonor Moya Correa",1201989,0,lemoco@marmol.com,Leonorcorrea,350RjD9vftWSfUh,,6238,Aniversario,,297000,9
"Jorge Cordero Abrego",10940809,3,jocoab@marmol.com,Jorgeabrego,QlNURu7qWJq,,7918,"Cena de Trabajo",,423000,3
"Ernesto Jiménez Rodarte",18719169,6,erjiro@edubus.cal,ernesto7650,5O2UxNKg8,,2647,"Salida con Familia",,1690000,10
"Samuel Tello Mena",3361257,5,samuel8954@viajesanma.com,samuel878,iLGw02qd5W,,7305,"Salida con Amigos",,496000,8
"Ernesto Jiménez Rodarte",18719169,6,erjiro@edubus.cal,ernesto7650,5O2UxNKg8,,2647,Vacaciones,,1290000,10
"Lucas Gamboa Godoy",13354191,8,,Lucasgodoy,YHJF5FcoeGu4woC,,4191,Vacaciones,,425000,5
"Isabel Ontiveros Jiménez",4300455,7,isabel9164@viajesanma.com,isabel7276,jCp2OTbo0e,,6074,"Salida con Amigos",,445000,5
"Sr. Juan Saucedo Barrios",15142449,0,sr.5257@viajesanma.com,Sr.barrios,LtOPivG0W0N1O,,3578,Aniversario,,234000,3
"Gilberto Carvajal Anaya",10462021,3,gicaan@tourket.com,Gilbertoanaya,STaJJ9EG1RGlZ4s,,6133,Aniversario,,236000,2
"Ernesto Lomeli Ayala",14946508,1,erloay@edubus.cal,Ernestoayala,SmnVhbzg2ku,,4315,Vacaciones,,720000,10
"Ernesto Galván Alcántar",10278700,5,,ergaal,0aaaT9hjd,,2318,Vacaciones,,50000,1
"Gilberto Mata Tejeda",8170371,0,Gilbertotejeda@viajesanma.com,gimate,zmH9bPwk,,1691,"Cena de Trabajo",,1080000,8
"Estela Fuentes Moreno",484092,5,esfumo@marmol.com,Estelamoreno,av7N2cMCBES,,8878,"Salida con Familia",,194000,2
"Marco Antonio Cisneros Olvera",10217794,0,maanciol@marmol.com,maanciol,BWogWacatSWOPq4o,,3016,"Salida con Amigos",,768000,4
"Diana Rico Cabán",14449000,2,,Dianacabán,921FpOAClwEB,,2430,Vacaciones,,1575000,9
"Lorena Bustamante Fonseca",26446738,1,lorena283@marmol.com,Lorenafonseca,NaJIm2H4pM054VzO,,1701,"Salida con Amigos",,560000,10
"Alejandra Nájera Alicea",20494294,3,,alejandra2549,JljyarPQ2,,6064,"Cena de Trabajo",,294000,2
"Sr. Vicente Delgadillo Castellanos",16478057,0,sr.4816@marmol.com,srvideca,3qHRsaV9DnN1,,5873,Vacaciones,,1377000,9
"Mercedes Elizondo Rentería",6375429,3,meelre@outluc.com,mercedes765,sSTqAUt8S2Q,,2490,"Cena de Trabajo",,296000,4
"Jorge Cordero Abrego",10940809,3,jocoab@marmol.com,Jorgeabrego,QlNURu7qWJq,,7918,"Salida con Amigos",,216000,2
"Gilberto Galindo Vigil",25224705,0,gilberto5794@marmol.com,gigavi,hQRxFNZ9u,,1499,"Cena de Trabajo",,236000,2
"Ana Luisa Mendoza Gaitán",10596203,7,,Anagaitán,iSbkctQ4z8Fn1,,5184,"Salida con Familia",,88000,2
"María Ocasio Roldán",26287852,0,,maocro,ltorj7BH8yWM,,1978,Aniversario,,1188000,6
"Sta. José Eduardo Barela Guevara",28260750,6,Sta.guevara@viajesanma.com,sta.4091,yDtLJkxcKWO6sZ,,2138,Aniversario,,372000,2
"Vicente Escobedo Arredondo",14604358,5,viesar@viajesanma.com,viesar,qsdL7kdSRIkY,,6423,"Salida con Familia",,480000,5
"María Elena Trujillo Cintrón",20518796,0,,maría361,GAusH27T,,2878,"Salida con Amigos",,210000,3
"Diego Santiago Alejandro",22048461,0,Diegoalejandro@wass.com,Diegoalejandro,ESyAVu11u,,6297,"Salida con Amigos",,1600000,8
"Sra. Federico Lerma Vélez",17480710,8,,sra.4482,cEx1U2P9BlWxh7yB,,9919,Aniversario,,1640000,10
"Sr. Juan Saucedo Barrios",15142449,0,sr.5257@viajesanma.com,Sr.barrios,LtOPivG0W0N1O,,3578,"Cena de Trabajo",,1071000,9
"Vicente Pineda Delao",16808685,7,vicente1541@outluc.com,vicente2983,dKI1R3DdR2,,9429,"Salida con Familia",,432000,3
"Sr. Alejandra Pacheco Pelayo",29806940,7,Sr.pelayo@viajesanma.com,sralpape,8nbX6z78VaV0V9rj,,538,Vacaciones,,715000,5
"Sta. José Eduardo Barela Guevara",28260750,6,Sta.guevara@viajesanma.com,sta.4091,yDtLJkxcKWO6sZ,,2138,Aniversario,,285000,3
"Alicia Sierra Domínguez",18697964,8,alsido@viajesanma.com,Aliciadomínguez,80UDKUiAc,,8974,"Salida con Amigos",,882000,6
"Sr. Rosalia Canales Llamas",13036251,6,sr.398@marmol.com,sr.5693,awEW7GE8KeywyJJ,,8518,"Cena de Trabajo",,1683000,9
"Lilia Concepción Díaz",4591112,8,lilia2945@wass.com,licodí,Al7lih8sHy7k4X4,,2400,Vacaciones,,388000,4
"José Eduardo Jasso Collazo",20635493,3,,josé1391,jXifqPK76kU4jf9,,3258,"Cena de Trabajo",,1026000,6
"Alfonso Mondragón Ocampo",15642771,3,,almooc,ESnfEXK7ikNMSU,,8562,Aniversario,,192000,3
"Graciela Haro Ocampo",3522707,5,,grhaoc,9qkKRUQX,,6996,Aniversario,,96000,1
"Horacio Bernal Jasso",2754374,0,horacio6773@outluc.com,Horaciojasso,QozhDC7D,,226,Vacaciones,,1764000,9
"Eduardo Matías Zelaya",3876533,7,eduardo4311@edubus.cal,eduardo7276,bJT90osc2YZr,,3113,"Salida con Amigos",,1267000,7
"Cristina Gallegos Orosco",28041464,6,Cristinaorosco@outluc.com,cristina4512,oF0ajGyeLJvr,,9365,"Salida con Amigos",,78000,2
"Gustavo Tamayo Olivas",6668422,9,Gustavoolivas@tourket.com,Gustavoolivas,5ZH9DXUGkE6,,4467,"Cena de Trabajo",,654000,6
"Clemente Vallejo Ávalos",15464524,1,,clemente4599,74OMfY8POm,,4508,"Salida con Familia",,348000,6
"Adán Brito Chapa",2659116,3,,Adánchapa,GVJVQ8kYG,,2101,"Salida con Amigos",,684000,4
"María Elena Sisneros Varela",10620908,1,,maría6876,3kBHcmU5PgIR6,,1697,Vacaciones,,390000,5
"Yolanda Monroy Mares",22567796,4,Yolandamares@tourket.com,yomoma,GlKs9ykWD8,,9031,Vacaciones,,592000,8
"Ramona Molina Sosa",4945131,8,Ramonasosa@viajesanma.com,Ramonasosa,Fv1oPdlpF,,7358,"Salida con Familia",,213000,3
"Marcela Córdova Galván",29947562,0,,Marcelagalván,KZXS5IHboXvbO,,9113,"Cena de Trabajo",,1155000,7
"Sofia Crespo Gil",19580103,7,,Sofiagil,pbNLLFxB2Xkb,,7250,Aniversario,,1510000,10
"Carmen Alanis Soria",4148815,8,caalso@wass.com,carmen4519,fMKnX1vf0W,,343,Aniversario,,545000,5
"Sta. Elsa Cavazos Marrero",29126616,9,sta.4098@marmol.com,stelcama,jKJixxmo1OJr0,,2001,Aniversario,,1116000,9
"Pablo Gracia Bonilla",7103954,4,pagrbo@edubus.cal,Pablobonilla,thmg1eznkqxln3X9,,4864,"Salida con Amigos",,536000,8
