nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
Mateo Montoya Ulloa,15103302,4,Mateoulloa@viajes.cl,mateo6409,VvE3D8Yg,\+56 2 1485 0576,Diurno,Más vida,Full time,500739,57251,2025-06-01,480000,4,No disponible,82513,Orihuela,Telde,2026-01-31,2026-02-02,39,4176,120000,Buses Nilahue,Cama,"{Comida,TV,""Aire acondicionado""}",{},,{}
José María Ceballos Lemus,8214058,1,jomacele@viajes.cl,jomacele,OAdQakm5BRj7OsX5,\+56 2 7885 2618,Diurno,Banmédica,Part time,500747,56193,2025-06-09,1233000,9,No disponible,85267,Toledo,San Sebastián,2026-06-05,2026-06-06,35,2735,137000,El Rápido Internacional,Cama,"{Baño,Agua,Comida}",{},,{}
Caridad Murillo Gaytán,11787038,3,camuga@viajes.cl,camuga,tWqwfKSd1,\+56 9 2388 0125,Nocturno,Colmena,Part time,500748,56193,2026-05-08,1152000,9,No disponible,25373,San Sebastián,San Sebastián,2026-06-06,2026-06-08,35,3148,128000,Flecha Bus,Cama,"{TV,Agua,Calefacción}",{},,{}
Sr. Margarita Sisneros Muro,11397091,0,Sr.muro@viajes.cl,sr.6580,88P2iv3EW,\+56 2 3804 4821,Nocturno,Consalud,Full time,500751,56388,2025-04-18,432000,9,No disponible,54927,Puertollano,Reus,2025-07-13,2025-07-13,95,908,48000,LATAM Airlines,,{},{},Clase económica,{}
Jaime Colón Gálvez,18324515,5,Jaimegálvez@viajes.cl,Jaimegálvez,BN2BTKBK7nOkML,\+56 2 7463 3974,Diurno,Banmédica,Part time,500752,56209,2025-03-20,2064000,8,No disponible,31178,Valencia,Torrevieja,2025-07-17,2025-07-18,12,2784,258000,Ryanair,,{},"{""Alcalá de Henares"",Lorca}",Clase ejecutiva,{}
Rubén Girón Zayas,22421940,7,Rubénzayas@viajes.cl,rubén9941,LNa3kl0zjWkY,\+56 9 3572 1118,Nocturno,Fonasa,Full time,500753,56209,2025-01-23,632000,8,No disponible,30740,Torrevieja,San Sebastián,2025-07-18,2025-07-19,97,1542,79000,Southwest Airlines,,{},{},Clase económica,{}
Gabriela Gastélum Sosa,6438593,3,Gabrielasosa@viajes.cl,gabriela5210,aBsHBC45,\+56 2 6846 9851,Nocturno,Más vida,Full time,500754,56209,2025-05-26,2792000,8,No disponible,14013,San Sebastián,Móstoles,2025-07-19,2025-07-21,21,3393,349000,British Airways,,{},"{Inca,Pamplona,""San Sebastían de los Reyes""}",Primera clase,{}
Ramón Marrero Negrete,6135357,7,ramane@viajes.cl,Ramónnegrete,5F4J9z8B0nrB,\+56 9 6147 1436,Diurno,Consalud,Full time,500760,56369,2025-01-20,532000,7,No disponible,59728,Sabadell,Sabadell,2025-01-28,2025-01-28,41,1083,76000,El Rápido Internacional,Cama,"{Agua,""Aire acondicionado"",Wifi}",{},,{}
Rebeca Báez Ordóñez,20154937,0,Rebecaordóñez@viajes.cl,rebáor,Z9d2S5prTSY,\+56 2 4138 0853,Diurno,Consalud,Part time,500761,56369,2025-01-15,1267000,7,No disponible,52807,Sabadell,Málaga,2025-01-28,2025-01-29,44,2286,181000,Futura,Cama,"{Wifi,""Asientos reclinables"",Comida}",{},,{}
Lola Cerda Mena,3927092,7,Lolamena@viajes.cl,loceme,NUZTu6y88,\+56 2 9324 2553,Diurno,Consalud,Part time,500764,56369,2025-01-28,693000,7,No disponible,53600,Málaga,Benalmádena,2025-01-31,2025-02-01,36,2757,99000,Plusmar,Cama,"{TV,""Asientos reclinables"",Comida}",{},,{}
Clara Lucio Saldivar,20062640,0,cllusa@viajes.cl,Clarasaldivar,CHKdD5afh8,\+56 9 7612 0174,Diurno,Banmédica,Part time,500771,56094,2025-04-29,942000,6,No disponible,55894,Pamplona,Almería,2025-10-12,2025-10-12,38,1254,157000,Monbus,Cama,"{""Asientos reclinables"",TV,Agua}",{},,{}
Sra. Ramón Anaya Olvera,17620997,6,Sra.olvera@viajes.cl,sra.8230,RyAt9c5unY151E0r,\+56 2 5311 5926,Diurno,Más vida,Full time,500772,56094,2025-08-30,42000,6,No disponible,88685,Almería,San Fernando,2025-10-12,2025-10-12,35,206,7000,Omnibus de México,Normal,"{""Aire acondicionado"",Wifi,""Asientos reclinables""}",{},,{}
Federico Caraballo Alvarado,25395858,8,Federicoalvarado@viajes.cl,Federicoalvarado,5sQ2XeJoBRds,\+56 2 6918 5599,Nocturno,Fonasa,Full time,500776,56098,2025-08-23,1052000,4,No disponible,99591,Jerez de la Frontera,Manresa,2026-05-02,2026-05-04,51,3304,263000,Renfe,,"{Baño,Comida,TV,Calefacción,Agua,""Asientos reclinables""}",{},,"{Tarrasa,""Santa Coloma de Gramanet"",""Collado Villalba"",Avilés,Rubí}"
Guadalupe Tello Jaimes,20240184,8,guteja@viajes.cl,guteja,QS79kvpxNaL,\+56 2 0413 1803,Nocturno,Colmena,Full time,500777,56098,2025-07-17,964000,4,No disponible,56685,Manresa,Bilbao,2026-05-04,2026-05-06,92,2944,241000,ZFBH (Bosnia y Herzegovina),,"{Calefacción,Comida,""Asientos reclinables"",Baño,""Aire acondicionado"",Agua}",{},,"{Leganés,Gandía,Logroño,""Cornellá de Llobregat""}"
Sra. Bernardo Cuellar Lucio,10627389,8,srbeculu@viajes.cl,Sra.lucio,EtnGUi3tgX1FI60,\+56 2 1493 7563,Nocturno,Banmédica,Part time,500781,56517,2025-09-16,700000,10,No disponible,94487,Jerez de la Frontera,Santa Lucía de Tirajana,2025-12-09,2025-12-10,47,1642,70000,Chevallier,Cama,"{Comida,Agua,""Asientos reclinables""}",{},,{}
Ignacio Sauceda Castillo,29518394,2,Ignaciocastillo@viajes.cl,igsaca,qRcCRiwM4YKa3ez,\+56 2 9001 0256,Nocturno,Fonasa,Part time,500789,56517,2025-04-29,550000,10,No disponible,75602,Santa Lucía de Tirajana,Sevilla,2025-12-17,2025-12-19,31,3944,55000,BoltBus,Cama,"{TV,Agua,""Asientos reclinables""}",{},,{}
José Eduardo Escobar Prado,17677783,4,Joséprado@viajes.cl,joedespr,0lgnyWaD2DbvK,\+56 9 6519 4208,Diurno,Consalud,Part time,500796,56517,2025-12-05,1640000,10,No disponible,91286,Sevilla,Ferrol,2025-12-25,2025-12-26,48,2267,164000,Buses Romani,Cama,"{Wifi,""Asientos reclinables"",Agua}",{},,{}
Reina Bonilla Negrón,1625918,7,rebone@viajes.cl,rebone,7IvLjWzG,\+56 2 1523 1980,Nocturno,Colmena,Full time,500799,57009,2026-02-13,975000,5,No disponible,37756,Logroño,Cerdañola del Vallés,2026-04-07,2026-04-08,81,2066,195000,ÖBB (Austria),,"{Baño,TV,Calefacción,Agua}",{},,{}
Sra. Samuel Hernández Matías,28137258,0,srsahema@viajes.cl,sra.2134,j5JkpNlMdY60rO,\+56 2 6550 0478,Diurno,Consalud,Full time,500800,57350,2025-07-29,492000,6,No disponible,5276,Pontevedra,Irún,2025-09-18,2025-09-19,46,2472,82000,Primera Plus,Cama,"{Wifi,Agua,Comida}",{},,{}
Sr. Clara Barrientos Gastélum,5836392,8,Sr.gastélum@viajes.cl,sr.7030,amuA4VnO,\+56 9 2268 1923,Nocturno,Consalud,Full time,500801,56892,2025-09-03,1197000,9,No disponible,87883,Lérida,Cerdañola del Vallés,2025-10-02,2025-10-03,81,1829,133000,ŽFBH (Bosnia y Herzegovina),,"{Calefacción,Agua,Baño,TV}",{},,{}
Julio Ceballos Santacruz,25214187,1,jucesa@viajes.cl,jucesa,L1BHTxaSR,\+56 9 6310 8850,Nocturno,Banmédica,Part time,500802,56892,2025-03-31,954000,9,No disponible,92796,Cerdañola del Vallés,Coslada,2025-10-03,2025-10-03,13,408,106000,VR (Finlandia),,{},{},,{Cuenta}
Francisca Mejía Gutiérrez,29680939,0,Franciscagutiérrez@viajes.cl,Franciscagutiérrez,xqDx2T1NIayzPS,\+56 2 4737 6625,Nocturno,Consalud,Full time,500806,56892,2025-05-28,1584000,9,No disponible,80544,Coslada,Gijón,2025-10-06,2025-10-07,53,1908,176000,CFR (Rumania),,"{TV,Baño,""Asientos reclinables"",Agua}",{},,{Córdoba}
Guillermina Santacruz Vásquez,24126321,5,guillermina7531@viajes.cl,gusavá,612YWYdIwc2u,\+56 9 0640 2148,Diurno,Más vida,Part time,500807,57011,2025-01-11,378000,2,No disponible,47628,Santander,Elche,2025-07-19,2025-07-20,30,2854,189000,Chevallier,Cama,"{Calefacción,Agua,""Asientos reclinables""}",{},,{}
Sta. Raquel Sandoval Guillen,19190945,3,sta.9359@viajes.cl,sta.6752,kgEhG6N5,\+56 2 4804 4196,Diurno,Colmena,Full time,500808,57011,2025-01-17,292000,2,No disponible,58683,Elche,Irún,2025-07-20,2025-07-22,48,4135,146000,Futura,Cama,"{""Aire acondicionado"",Agua,Wifi}",{},,{}
Jaime Colón Gálvez,18324515,5,Jaimegálvez@viajes.cl,Jaimegálvez,BN2BTKBK7nOkML,\+56 2 7463 3974,Diurno,Banmédica,Part time,500809,57011,2025-02-10,264000,2,No disponible,32765,Irún,Vigo,2025-07-22,2025-07-24,33,4170,132000,Via Bariloche,Cama,"{Agua,""Aire acondicionado"",Comida}",{},,{}
Miguel Ureña Morales,20832292,3,miurmo@viajes.cl,miguel7541,ICJ2OGb2tD3R,\+56 9 1076 3762,Nocturno,Consalud,Part time,500816,56066,2026-03-08,328000,4,No disponible,213,Pozuelo de Alarcón,Barcelona,2026-09-20,2026-09-22,50,3148,82000,Flecha Bus,Cama,"{""Asientos reclinables"",Wifi,Calefacción}",{},,{}
Jaime Colón Gálvez,18324515,5,Jaimegálvez@viajes.cl,Jaimegálvez,BN2BTKBK7nOkML,\+56 2 7463 3974,Diurno,Banmédica,Part time,500817,56066,2026-07-03,544000,4,No disponible,94597,Barcelona,El Puerto de Santa María,2026-09-22,2026-09-24,44,3118,136000,Futura,Cama,"{Comida,Wifi,Calefacción}",{},,{}
Enrique López Barreto,2922339,4,Enriquebarreto@viajes.cl,enrique2721,KjlvDRGCuqnJ3Z,\+56 9 7488 9907,Nocturno,Consalud,Part time,500818,56066,2025-03-01,472000,4,No disponible,67031,El Puerto de Santa María,La Coruña,2026-09-24,2026-09-24,47,1425,118000,FlixBus,Cama,"{Calefacción,""Aire acondicionado"",Wifi}",{},,{}
Martín Ayala Raya,10499902,6,martín9252@viajes.cl,martín8054,d2xQrlFp41,\+56 9 5214 4638,Diurno,Más vida,Part time,500823,56310,2025-04-17,1043000,7,No disponible,71827,Granada,Móstoles,2025-04-22,2025-04-23,42,2679,149000,Flecha Bus,Cama,"{Baño,TV,""Asientos reclinables""}",{},,{}
Sr. Yolanda Pedroza Ibarra,9469424,8,sr.4232@viajes.cl,sryopeib,0a3TdzeRIh,\+56 9 6947 3863,Nocturno,Banmédica,Full time,500824,57125,2025-05-30,3032000,8,No disponible,17901,Mataró,Ávila,2025-07-20,2025-07-22,88,4282,379000,Thalys,,"{Comida,TV,""Asientos reclinables"",Calefacción,Wifi,Agua,Baño}",{},,{}
Isabela Vela Lemus,21139250,9,isabela8428@viajes.cl,isvele,6zCeBwWuDu,\+56 2 0952 9667,Diurno,Más vida,Part time,500825,57125,2025-06-04,888000,8,No disponible,11037,Ávila,Burgos,2025-07-22,2025-07-22,98,732,111000,ÖBB (Austria),,"{""Aire acondicionado"",Baño,Comida}",{},,"{""Santa Coloma de Gramanet""}"
José González Ramírez,5113956,9,jogora@viajes.cl,jogora,nHzzTKNL1Y,\+56 9 6286 8816,Diurno,Fonasa,Full time,500828,57125,2025-04-04,2144000,8,No disponible,5341,Burgos,San Sebastián,2025-07-24,2025-07-25,49,2803,268000,ŽFBH (Bosnia y Herzegovina),,"{Calefacción,""Aire acondicionado"",Agua,TV,Baño}",{},,"{Valencia,Arrecife,""Ciudad Real"",Palencia,""Cerdañola del Vallés""}"
Hugo Castro Caraballo,11839443,7,Hugocaraballo@viajes.cl,hucaca,v9cxGU51Wr,\+56 9 9940 8712,Diurno,Colmena,Part time,500832,56567,2025-02-16,343000,7,No disponible,86280,Jerez de la Frontera,Telde,2025-03-07,2025-03-07,44,140,49000,EME Bus,Normal,"{Comida,TV,Wifi}",{},,{}
Juan Trujillo Tejada,9989107,6,Juantejada@viajes.cl,juan454,0BlI4ePr,\+56 2 8506 9438,Nocturno,Consalud,Full time,500835,56567,2025-02-26,350000,7,No disponible,50931,Telde,Alcobendas,2025-03-09,2025-03-11,33,4180,50000,Greyhound,Cama,"{""Aire acondicionado"",""Asientos reclinables"",TV}",{},,{}
David Rendón Grijalva,8713746,5,daregr@viajes.cl,daregr,kXURY8Rg,\+56 9 1212 3690,Diurno,Colmena,Full time,500836,56567,2025-01-18,1141000,7,No disponible,29734,Alcobendas,Guadalajara,2025-03-11,2025-03-11,48,672,163000,BoltBus,Cama,"{Baño,TV,Calefacción}",{},,{}
María Tejada Cardona,13296271,5,Maríacardona@viajes.cl,mateca,8L6clmJpztdVjIRv,\+56 2 6394 6272,Diurno,Consalud,Part time,500844,56226,2025-09-28,352000,4,No disponible,8284,San Cristróbal de la Laguna,San Cristróbal de la Laguna,2025-10-31,2025-10-31,60,1034,88000,DSB (Dinamarca),,"{Comida,Baño,Wifi}",{},,{}
Patricio Delgadillo Bañuelos,19870011,8,Patriciobañuelos@viajes.cl,Patriciobañuelos,yCTGAl7jv0N,\+56 9 4063 5006,Diurno,Fonasa,Part time,500845,56226,2025-09-16,1024000,4,No disponible,53290,San Cristróbal de la Laguna,Mataró,2025-10-31,2025-11-01,17,2267,256000,AVE,,"{Baño,Wifi,""Asientos reclinables"",Agua,Comida}",{},,"{""Santiago de Compostela"",""Santa Coloma de Gramanet"",Torrelavega}"
Sta. Micaela Agosto Soliz,16595504,8,sta.2160@viajes.cl,sta.1914,dSsFh1hkXN4gGr,\+56 2 2617 3758,Diurno,Consalud,Full time,500853,56226,2025-02-23,152000,4,No disponible,46514,Mataró,Orihuela,2025-11-08,2025-11-08,34,589,38000,PKP (Polonia),,{},{},,"{Alcoy,Paterna,Linares,""San Sebastían de los Reyes"",Benidorm}"
Armando Ulibarri Razo,22974735,5,arulra@viajes.cl,arulra,V9gWpSaNTv0gikD,\+56 9 7832 8748,Nocturno,Consalud,Full time,500854,56264,2025-09-26,2466000,9,No disponible,73069,Bilbao,Viladecans,2025-11-04,2025-11-06,73,3990,274000,NSB (Noruega),,"{Wifi,Comida,""Aire acondicionado"",TV,Agua,""Asientos reclinables"",Baño}",{},,"{Avilés,Tarrasa,Gandía}"
Francisca Puente Atencio,10264428,0,francisca5319@viajes.cl,Franciscaatencio,nZ3OOZS2c5k,\+56 2 2442 1666,Diurno,Colmena,Full time,500855,56264,2025-04-20,1224000,9,No disponible,72572,Viladecans,Ávila,2025-11-06,2025-11-06,42,193,136000,CD (República Checa),,{},{},,"{Benalmádena,Ponferrada,Irún}"
Federico Muñiz Apodaca,968691,6,femuap@viajes.cl,Federicoapodaca,yYKI51D9DZ1ZDd,\+56 9 0629 3514,Nocturno,Consalud,Full time,500859,56210,2025-10-30,545000,5,No disponible,49708,Toledo,León,2026-10-10,2026-10-10,38,502,109000,Buses Ahumada,Semi-cama,"{TV,Agua,""Asientos reclinables""}",{},,{}
Sta. Mariana Naranjo Tamez,26700750,0,sta.9010@viajes.cl,stmanata,D2AI5VwJo,\+56 2 7065 8169,Nocturno,Colmena,Part time,500867,56210,2026-06-22,360000,5,No disponible,49913,León,Torrevieja,2026-10-17,2026-10-19,43,3763,72000,Megabus,Cama,"{Comida,Agua,Calefacción}",{},,{}
Sra. Juana Noriega Vásquez,8783309,7,srjunová@viajes.cl,srjunová,c00iTGuZaAzP,\+56 2 8308 2605,Nocturno,Banmédica,Part time,500868,56210,2026-02-16,285000,5,No disponible,31544,Torrevieja,Avilés,2026-10-19,2026-10-19,49,403,57000,Buses Romani,Semi-cama,"{TV,Agua,Calefacción}",{},,{}
Sta. Virginia Cervántez Reséndez,11738652,0,sta.570@viajes.cl,Sta.reséndez,Sk6zlIj3Xo,\+56 2 7176 8938,Diurno,Consalud,Full time,500875,57199,2025-02-20,1440000,8,No disponible,15063,Cuenta,Valdemoro,2025-05-22,2025-05-23,51,1464,180000,ZSSK (Eslovaquia),,"{""Aire acondicionado"",""Asientos reclinables"",Comida,Agua}",{},,"{""Santa Coloma de Gramanet"",""Cerdañola del Vallés"",""San Sebastían de los Reyes"",Murcia,Sevilla}"
Gustavo Fonseca Rico,25349603,7,gufori@viajes.cl,gustavo3649,8VKe7X5c,\+56 9 0436 7270,Nocturno,Colmena,Part time,500880,57199,2025-03-28,360000,8,No disponible,89683,Valdemoro,San Fernando,2025-05-27,2025-05-27,83,618,45000,ŽSSK (Eslovaquia),,{},{},,"{""El Prat de LLobregat""}"
Emilia Campos Amador,26447620,8,emcaam@viajes.cl,emcaam,XWX5e9tP,\+56 9 7612 7780,Nocturno,Más vida,Part time,500881,56658,2025-07-26,270000,5,No disponible,44384,Sabadell,Las Palmas de Gran Canaria,2026-06-27,2026-06-27,85,800,54000,Wizz Air,,{},{},Clase económica,{}
Anita Montaño Agosto,4206051,8,anmoag@viajes.cl,Anitaagosto,Fsy8ugXHqA,\+56 9 8432 3425,Nocturno,Consalud,Full time,500883,56658,2025-10-28,1335000,5,No disponible,22055,Las Palmas de Gran Canaria,Sabadell,2026-06-28,2026-06-30,88,3298,267000,Turkish Airlines,,{},"{""Torrejón de Ardoz"",Pontevedra}",Primera clase,{}
Olivia Araña Aguirre,5391670,8,olivia7427@viajes.cl,olarag,XdpZQe2hnks6hc1,\+56 9 9724 2486,Nocturno,Más vida,Full time,500884,56658,2025-05-29,1580000,5,No disponible,13680,Sabadell,Vigo,2026-06-30,2026-07-02,26,3737,316000,British Airways,,{},"{""Castellón de la Plana"",Avilés,Orihuela,Segovia,Madrid}",Primera clase,{}
Caridad Pelayo Arredondo,26117832,0,capear@viajes.cl,capear,4JMM8tlEQ,\+56 2 0077 1007,Nocturno,Banmédica,Part time,500885,57125,2025-02-07,261000,3,No disponible,36072,Móstoles,Valladolid,2025-06-10,2025-06-11,34,1714,87000,Buses Ahumada,Cama,"{Agua,""Asientos reclinables"",""Aire acondicionado""}",{},,{}
Claudio Ceballos Ochoa,21563475,2,claudio7351@viajes.cl,clceoc,dGlbKRjGDdO7f,\+56 2 4468 4462,Nocturno,Colmena,Part time,500889,57125,2025-05-28,327000,3,No disponible,74537,Valladolid,Alcoy,2025-06-14,2025-06-16,47,3359,109000,Damas,Cama,"{Calefacción,Baño,Comida}",{},,{}
Felipe Castellanos Cintrón,6405347,7,fecaci@viajes.cl,Felipecintrón,BPpcdh89RjbOdcV,\+56 2 1202 3116,Diurno,Banmédica,Part time,500892,56068,2025-06-29,228000,2,No disponible,98521,Cuenta,Gecho,2025-08-26,2025-08-26,5,446,114000,All Nippon Airways (ANA),,{},{},Clase económica,{}
Conchita Hernandes Luna,15370325,6,Conchitaluna@viajes.cl,conchita5734,1eysYfok,\+56 9 7092 5853,Diurno,Banmédica,Full time,500893,56068,2025-05-01,284000,2,No disponible,93604,Gecho,Córdoba,2025-08-26,2025-08-26,55,383,142000,Avianca,,{},{},Clase económica,{}
Patricia Mateo Chapa,20942213,1,patricia6045@viajes.cl,Patriciachapa,dFPyd246miVGc,\+56 9 5372 7828,Diurno,Consalud,Part time,500901,56068,2025-05-08,338000,2,No disponible,80823,Córdoba,Elda,2025-09-02,2025-09-03,10,1516,169000,Etihad Airways,,{},{},Clase ejecutiva,{}
Reina Merino Ulibarri,28861617,5,reina9706@viajes.cl,Reinaulibarri,uxfF6m4nSFI1v,\+56 2 0326 2834,Diurno,Banmédica,Part time,500903,56516,2025-01-27,1940000,10,No disponible,44190,Alcalá de Henares,Chiclana de la Frontera,2025-08-17,2025-08-17,34,1188,194000,Socibus,Cama,"{Wifi,TV,""Asientos reclinables""}",{},,{}
Sra. Yolanda Gallardo Perales,21756661,4,sryogape@viajes.cl,sryogape,5IjUbjoMOd7c,\+56 2 4131 1270,Diurno,Consalud,Full time,500904,56868,2026-04-01,196000,7,No disponible,68362,Almería,Inca,2026-08-16,2026-08-16,6,328,28000,Avianca,,{},{},Clase ejecutiva,{}
Olivia Almanza Cerda,3437808,8,olalce@viajes.cl,Oliviacerda,E6tBDr8tTs2piMmW,\+56 2 9692 3736,Nocturno,Banmédica,Part time,500911,56868,2025-02-16,3339000,7,No disponible,5816,Inca,Las Palmas de Gran Canaria,2026-08-22,2026-08-24,74,3833,477000,Air France,,{},"{Leganés,Torrelavega,Fuengirola,Badajoz,Valladolid}",Primera clase,{}
Caridad Murillo Gaytán,11787038,3,camuga@viajes.cl,camuga,tWqwfKSd1,\+56 9 2388 0125,Nocturno,Colmena,Part time,500912,56001,2025-04-30,545000,5,No disponible,38816,Badajoz,Sagunto,2025-05-10,2025-05-11,94,1536,109000,Copa Airlines,,{},{Gerona},Clase ejecutiva,{}
Daniel Mondragón Barela,24977708,0,Danielbarela@viajes.cl,daniel3008,a95CP6UT,\+56 2 6467 6997,Nocturno,Consalud,Part time,500917,56001,2025-01-20,735000,5,No disponible,89628,Sagunto,Cádiz,2025-05-15,2025-05-16,15,2665,147000,Copa Airlines,,{},{},Primera clase,{}
Sr. Santiago Montenegro Fernández,26443594,3,srsamofe@viajes.cl,sr.8353,gBJWB5dzQ5EW3Si,\+56 2 0810 2593,Diurno,Banmédica,Full time,500918,57356,2025-05-04,840000,2,No disponible,81824,Sabadell,Cádiz,2025-10-13,2025-10-15,15,3947,420000,Amtrak,,"{Comida,""Aire acondicionado"",Calefacción,Baño,Agua,TV,Wifi}",{},,"{Paterna,Ponferrada}"
Sta. Micaela Agosto Soliz,16595504,8,sta.2160@viajes.cl,sta.1914,dSsFh1hkXN4gGr,\+56 2 2617 3758,Diurno,Consalud,Full time,500919,57356,2025-01-26,346000,2,No disponible,42676,Cádiz,Santa Cruz de Tenerife,2025-10-15,2025-10-17,52,3763,173000,SBB (Suiza),,"{Agua,""Aire acondicionado"",Baño,Calefacción,""Asientos reclinables"",Wifi,TV}",{},,{Linares}
Bernardo Romero Macías,19244716,0,beroma@viajes.cl,Bernardomacías,wcLnO4GEf5c,\+56 9 6180 1161,Diurno,Consalud,Full time,500920,56279,2025-04-11,140000,2,No disponible,25562,Baracaldo,Segovia,2026-06-29,2026-06-30,35,2577,70000,ETN Turistar,Cama,"{Comida,TV,Agua}",{},,{}
Sofia Zepeda Rentería,20985588,7,sozere@viajes.cl,sozere,4u88yVDGX0,\+56 2 5444 8283,Diurno,Colmena,Full time,500921,56279,2025-11-11,118000,2,No disponible,26368,Segovia,Linares,2026-06-30,2026-07-01,48,2082,59000,Monbus,Cama,"{Comida,""Asientos reclinables"",Calefacción}",{},,{}
Sr. Margarita Sisneros Muro,11397091,0,Sr.muro@viajes.cl,sr.6580,88P2iv3EW,\+56 2 3804 4821,Nocturno,Consalud,Full time,500922,56279,2026-02-06,374000,2,No disponible,45364,Linares,Ciudad Real,2026-07-01,2026-07-03,32,3534,187000,Andesmar,Cama,"{Comida,""Aire acondicionado"",TV}",{},,{}
Federico Escobar Barajas,5548614,0,feesba@viajes.cl,federico7437,06s5TiQJD9dlYAa,\+56 9 6797 3565,Diurno,Consalud,Part time,500925,57407,2025-02-08,1384000,8,No disponible,2726,Lugo,Gerona,2026-01-13,2026-01-15,44,3874,173000,El Rápido Internacional,Cama,"{Agua,Wifi,""Aire acondicionado""}",{},,{}
Sra. Enrique Godoy Aguirre,11645177,8,srengoag@viajes.cl,srengoag,0eag3Ty4D,\+56 9 3531 5418,Diurno,Consalud,Part time,500931,56509,2025-02-08,1570000,10,No disponible,36675,Coslada,Zaragoza,2026-08-11,2026-08-12,37,2195,157000,Megabus,Cama,"{Calefacción,""Aire acondicionado"",Agua}",{},,{}
Cristina Zepeda Alaniz,3698179,2,cristina8121@viajes.cl,cristina6836,Uyrwh7Sue,\+56 9 9646 3758,Diurno,Fonasa,Full time,500934,56509,2026-02-23,890000,10,No disponible,82738,Zaragoza,Estepona,2026-08-14,2026-08-16,45,4173,89000,El Rápido Internacional,Cama,"{""Aire acondicionado"",Baño,Calefacción}",{},,{}
Ignacio Zamudio Lomeli,6204175,7,ignacio4981@viajes.cl,Ignaciolomeli,YUPTs9rpL00041Ug,\+56 9 0871 6460,Diurno,Más vida,Full time,500935,57197,2025-02-01,279000,9,No disponible,46656,Fuengirola,Molina de Segura,2025-04-04,2025-04-04,72,858,31000,PKP (Polonia),,"{""Asientos reclinables"",""Aire acondicionado"",Wifi}",{},,{}
Yolanda Gurule Bétancourt,27041095,2,Yolandabétancourt@viajes.cl,yogubé,CIec5hdc9,\+56 9 7225 9077,Diurno,Colmena,Full time,500941,57197,2025-03-26,4059000,9,No disponible,77846,Molina de Segura,Baracaldo,2025-04-09,2025-04-11,60,3897,451000,CFR (Rumania),,"{""Asientos reclinables"",Comida,Calefacción,TV,Wifi,""Aire acondicionado"",Agua}",{},,"{Alcoy,Jaén}"
Sra. Miguel Ángel Casas Carrera,2682496,6,sra.1626@viajes.cl,Sra.carrera,53sxSuz31U,\+56 9 2069 7705,Nocturno,Colmena,Full time,500942,57197,2025-02-22,1008000,9,No disponible,35494,Baracaldo,Paterna,2025-04-11,2025-04-13,37,3311,112000,RZD (Rusia),,"{Calefacción,Agua,Wifi,Baño,""Aire acondicionado"",Comida}",{},,"{Albacete,""El Ejido"",Vigo,""Cornellá de Llobregat""}"
Emilia Campos Amador,26447620,8,emcaam@viajes.cl,emcaam,XWX5e9tP,\+56 9 7612 7780,Nocturno,Más vida,Part time,500944,56735,2025-09-22,2280000,10,No disponible,20065,Lérida,Palencia,2026-10-30,2026-10-31,4,2264,228000,DSB (Dinamarca),,"{Comida,Calefacción,Wifi,""Aire acondicionado"",Agua}",{},,{}
Dolores Griego Solorio,8926239,9,Doloressolorio@viajes.cl,Doloressolorio,eCVF32kZ1Y6t,\+56 2 6799 3390,Diurno,Banmédica,Full time,500945,57161,2025-02-07,834000,6,No disponible,40768,Motril,Cáceres,2026-07-10,2026-07-11,9,2599,139000,Deutsche Bahn (DB),,"{Calefacción,Agua,""Aire acondicionado"",TV,Wifi}",{},,"{Vitoria,Rivas-Vaciamadrid,Pamplona,Majadahonda}"
Dorotea Camacho Cabrera,24500132,0,dorotea5706@viajes.cl,docaca,B8lqQNNCHhy1K,\+56 2 2575 7392,Nocturno,Banmédica,Full time,500946,57161,2025-03-31,216000,6,No disponible,35177,Cáceres,Ávila,2026-07-11,2026-07-11,90,532,36000,RZD (Rusia),,{},{},,"{Gerona,Orense}"
Olivia Viera Ontiveros,4118746,8,olvion@viajes.cl,Oliviaontiveros,rvt0FSb8A,\+56 2 4917 0238,Nocturno,Colmena,Part time,500947,56960,2025-06-09,264000,6,No disponible,30937,Estepona,Vitoria,2025-10-14,2025-10-14,41,417,44000,ETN Turistar,Semi-cama,"{Wifi,TV,Baño}",{},,{}
Federico Espinosa Méndez,13496871,0,feesmé@viajes.cl,feesmé,AovDtCTzlFT72Soj,\+56 9 2953 0230,Diurno,Colmena,Part time,500948,56960,2025-08-08,552000,6,No disponible,15464,Vitoria,Gecho,2025-10-14,2025-10-15,50,1587,92000,Socibus,Cama,"{Wifi,TV,Comida}",{},,{}
Felipe Castellanos Cintrón,6405347,7,fecaci@viajes.cl,Felipecintrón,BPpcdh89RjbOdcV,\+56 2 1202 3116,Diurno,Banmédica,Part time,500951,56082,2025-12-01,64000,1,No disponible,96380,San Sebastián,Sagunto,2026-02-12,2026-02-13,37,1962,64000,Via Bariloche,Cama,"{TV,Comida,Agua}",{},,{}
