nombre,run,dv,correo,telefono_contacto,jornada,isapre,contrato,fecha,monto,cantidad_personas,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Andrea Águilar Flórez",99.999.999-K,4,correo_sin_arroba.com,"\+56 2 9911 5921","56 2 5608 9241",,,2026-07-22,16/3/2030,-2,54625,"La Línea de la Concepción",alcoy#,44,289,44000,"Estrella Roja",Normal,"{Baño,Agua,""Asientos reclinables""}",{},,{}
"Javier Carrero Parra",99.999.999-K,6,correo_sin_arroba.com,"\+56 2 9274 6304","56 4 1476 1029",,,2025-09-16,13/2/2020,7,27797,Torrelavega,Leganés,13,266,141000,"Southwest Airlines",,{},"{Fuengirola,""Las Palmas de Gran Canaria"",Majadahonda}","Clase económica",{}
"Lola Fernández Aranda",5303377,9,reginia@viajes.cl,"\+56 9 7289 6639","56 9 9966 4014","Más vida","Part time",2026-05-30,10/4/2029,9,72230,"San Sebastían de los Reyes",Zaragoza,47!!!,432,74000,Megabus,Cama,"{Agua,Baño,Calefacción}",{},,{}
"Sra. Rosario Cortés Abrego",24910267,4,correo_sin_arroba.com,"\+56 9 2690 9594","56 1 9547 9719",,,2025-11-05,823000,-8,62101,Barcelona,"talavera de la reina#",36,555,139000,"El Rápido Internacional",Semi-cama,"{Comida,Agua,""Asientos reclinables""}",{},,{}
"Claudia Mondragón Casares",99.999.999-K,6,correo_sin_arroba.com,"\+56 9 2792 7065",,,,2026-08-09,18/1/2020,-6,92388,Torrevieja,getafe#,89!!!,3094,279000,Vueling,,{},"{""Torrejón de Ardoz"",""Santa Lucía de Tirajana"",""La Línea de la Concepción"",Elda,Jaén}","Clase ejecutiva",{}
"Agustín Trejo Melgar",99.999.999-K,8,edgar_okuneva@viajes.cl,"\+56 9 6005 3683","56 4 3583 9655",,,2025-09-13,772000,-3,53684,Valencia,gijón#,71!!!,1995,157000,"JR Central",,"{TV,Agua,""Aire acondicionado"",Baño}",{},,"{Lugo,""Hospitalet de LLobregat"",Toledo,Huelva,Viladecans}"
"Clemente Muro Terrazas",99.999.999-K,2,logan_hudson@viajes.cl,"\+56 2 4840 0535","56 8 6830 8949",Colmena,"Part time",2025-02-15,2/2/2027,1,79009,Algeciras,Gecho,48,410,61000,"EME Bus",Semi-cama,"{""Aire acondicionado"",Baño,Agua}",{},,{}
"Gabriela Flores Jasso",99.999.999-K,3,correo_sin_arroba.com,"\+56 2 3617 3589","56 4 4245 1339",,,2025-11-09,370000,-4,71048,Madrid,ponferrada#,30,704,124000,"El Rápido Internacional",Cama,"{Wifi,Baño,Comida}",{},,{}
"Hernán Gamez Luevano",99.999.999-K,4,correo_sin_arroba.com,"\+56 9 4471 3695",Nocturno,Fonasa,"Full time",2026-06-14,653000,-8,98556,Zaragoza,"roquetas de mar#",38,522,101000,JetSur,Cama,"{""Asientos reclinables"",Comida,TV}",{},,{}
"David Cavazos Fernández",16982588,9,correo_sin_arroba.com,"\+56 2 5609 1006","56 3 2971 8853",Fonasa,"Part time",2026-08-08,275000,7,73114,"Jerez de la Frontera",parla#,82,3548,172000,"JR Central",,"{TV,Comida,Calefacción,Wifi,Baño,""Aire acondicionado""}",{},,"{Estepona,Cartagena,""San Fernando"",""Las Palmas de Gran Canaria""}"
"Andrea Solorzano Vela",99.999.999-K,5,dallas@viajes.cl,"\+56 2 0575 6477",Nocturno,Consalud,"Full time",2026-09-24,218000,1,52278,"San Sebastían de los Reyes","las palmas de gran canaria#",48!!!,334,25000,"Pullman Bus",Semi-cama,"{""Aire acondicionado"",Agua,TV}",{},,{}
"Jacobo Cotto Irizarry",27874742,3,correo_sin_arroba.com,"\+56 2 2751 3714",,,,2026-06-02,16/8/2026,5,65575,"El Puerto de Santa María","santiago de compostela#",40!!!,178,12000,ADO,Normal,"{Baño,Comida,Wifi}",{},,{}
"Sta. Blanca Lira Arenas",99.999.999-K,2,kory_schinner@outlook.com,"\+56 9 7775 6838",,,,2025-04-21,967000,5,58994,Pontevedra,"castellón de la plana#",90,382,27000,Lufthansa,,{},{},"Clase económica",{}
"Ester Collado Parra",99.999.999-K,5,correo_sin_arroba.com,"\+56 2 1825 8177","56 7 6173 7516",,,2026-09-19,505000,10,17005,Algeciras,león#,37!!!,460,50000,"United Airlines",,{},"{""San Cristróbal de la Laguna"",Badajoz,""Ciudad Real"",Salamanca}","Clase económica",{}
"Laura Calderón Matos",99.999.999-K,4,correo_sin_arroba.com,"\+56 9 7271 8880","56 6 8590 3443",,,2025-11-26,8/9/2027,1,80513,Lugo,Estepona,30!!!,148,8000,Futura,Normal,"{Wifi,""Asientos reclinables"",Calefacción}",{},,{}
"Elisa Rosario Bustos",99.999.999-K,8,yasmin@turket.com,"\+56 9 3702 4729","56 9 2132 6709",,,2025-11-06,22/11/2023,-6,71937,Mijas,Orihuela,37!!!,439,90000,"Buses Bio Bio",Semi-cama,"{Agua,Wifi,""Aire acondicionado""}",{},,{}
"Sonia Mascareñas Alvarez",99.999.999-K,6,correo_sin_arroba.com,"\+56 2 7953 4773","56 3 1768 5155",Colmena,"Part time",2025-12-21,17/5/2030,-10,62452,Motril,segovia#,31!!!,2196,249000,"China Railway",,"{Baño,TV,""Asientos reclinables"",Agua,Wifi}",{},,"{""Collado Villalba"",Cádiz,Almería}"
"Ana Juárez Vallejo",10635368,8,correo_sin_arroba.com,"\+56 9 6008 7792",,,,2025-04-11,430000,6,4377,Fuenlabrada,Marbella,99!!!,550,172000,"Nederlandse Spoorwegen (NS)",,,{},,"{""Talavera de la Reina"",Murcia}"
"Gustavo Mayorga Lucio",99.999.999-K,7,correo_sin_arroba.com,"\+56 9 2743 8001",,,,2026-04-24,455000,3,86247,Mérida,Murcia,38,231,39000,Megabus,Normal,"{TV,Agua,Calefacción}",{},,{}
"Raúl Mateo Ceballos",99.999.999-K,7,correo_sin_arroba.com,"\+56 9 0116 0822",,,,2026-02-04,652000,-4,73835,Orihuela,Marbella,52!!!,3774,456000,EasyJet,,{},"{Rubí,León}","Primera clase",{}
"Sr. Mariana Villalpando Castañeda",10279503,3,jennefer@viajes.cl,"\+56 2 9586 8862",,,,2025-05-03,708000,-2,21640,Sevilla,sabadell#,49!!!,307,21000,Futura,Normal,"{""Asientos reclinables"",Comida,TV}",{},,{}
"Sr. Federico Oquendo Merino",27128597,4,correo_sin_arroba.com,"\+56 9 5573 6289",Diurno,Fonasa,"Full time",2025-02-24,132000,-4,8749,"Cerdañola del Vallés","El Puerto de Santa María",43,1203,114000,"Virgin Trains",,"{Agua,Comida,""Asientos reclinables""}",{},,"{Oviedo,Alcorcón}"
"Arturo Espino Jaimes",12707605,2,mireya_hartmann@marmol.com,"\+56 9 8678 7695","56 6 2812 9206",,,2025-10-07,26/5/2030,6,68904,Salamanca,benidorm#,94,700,30000,Avianca,,{},{},"Clase ejecutiva",{}
"Rosalia Medina Delapaz",26938702,7,correo_sin_arroba.com,"\+56 9 3248 5357","56 9 5475 6053",,,2025-09-03,60000,-6,8037,Pontevedra,"Cornellá de Llobregat",39!!!,263,80000,Greyhound,Normal,"{Agua,Comida,""Aire acondicionado""}",{},,{}
"Ernesto Cavazos Llamas",99.999.999-K,7,correo_sin_arroba.com,"\+56 9 7676 9069",,,,2026-08-07,17/6/2024,9,47590,Murcia,"pozuelo de alarcón#",98,763,55000,EuroCity,,"{Comida,Baño,""Asientos reclinables""}",{},,{}
"Sta. Francisca Pulido Montoya",7265945,2,correo_sin_arroba.com,"\+56 2 7972 5282",,,,2025-11-04,14/11/2030,9,39799,Calahorra,Lérida,2,4148,151000,Vueling,,{},"{""Roquetas de Mar"",Parla,""La Línea de la Concepción""}","Primera clase",{}
"Concepción Moya Sanabria",99.999.999-K,4,bo_skiles@viajes.cl,"\+56 2 8554 3232",,,,2025-04-11,883000,9,91811,Ceuta,badajoz#,42!!!,194,49000,"ETN Turistar",Normal,"{Calefacción,""Aire acondicionado"",Comida}",{},,{}
"Sra. Soledad Candelaria Valdés",8704580,8,correo_sin_arroba.com,"\+56 9 9938 0261","56 7 4729 6921",,,2026-11-05,752000,1,23179,Alcobendas,"Mollet del Vallés",81,756,50000,"JR West",,"{""Asientos reclinables"",Calefacción,Baño}",{},,"{Rivas-Vaciamadrid,Torrevieja,""San Sebastián""}"
"Samuel Salcido Archuleta",9180183,4,octavio@turket.com,"\+56 2 7105 8685","56 2 9181 6116",,,2026-05-06,866000,3,17809,Logroño,Benalmádena,49!!!,531,66000,"EME Bus",Cama,"{Calefacción,TV,""Aire acondicionado""}",{},,{}
"Blanca Alcala Jiménez",99.999.999-K,2,correo_sin_arroba.com,"\+56 9 0939 1230",,,,2025-07-22,647000,-5,96588,Linares,irún#,98,4232,398000,"China Railway",,"{Comida,Agua,Wifi,TV,Baño,""Aire acondicionado"",""Asientos reclinables""}",{},,"{Badalona,""Talavera de la Reina"",Elda,Leganés}"
"Olivia Verdugo Olivas",99.999.999-K,8,correo_sin_arroba.com,"\+56 2 8618 6969",Diurno,Colmena,"Full time",2026-03-10,16/1/2030,-7,96529,"Roquetas de Mar",Torrevieja,32!!!,299,39000,"Buses Bio Bio",Normal,"{""Aire acondicionado"",Wifi,Comida}",{},,{}
"Gabriela Colunga Mota",99.999.999-K,6,correo_sin_arroba.com,"\+56 2 8034 7841","56 4 1888 5517",,,2026-09-28,189000,2,29787,Madrid,Ponferrada,95,4112,481000,ScotRail,,"{""Aire acondicionado"",Baño,""Asientos reclinables"",Calefacción,Wifi,TV,Agua}",{},,"{Valencia,Alcorcón,Alcobendas,""Hospitalet de LLobregat""}"
"María del Carmen Palomo Soto",1814726,7,joseph@waldo.com,"\+56 2 0400 1718","56 2 6498 4145",,,2025-09-08,11/2/2020,-2,131,Rivas-Vaciamadrid,Baracaldo,75,1039,66000,"Nederlandse Spoorwegen (NS)",,"{Wifi,Comida,TV}",{},,{Toledo}
"Leticia Arellano Alba",25285552,2,sergio.hilll@marmol.com,"\+56 9 8529 0412","56 3 2470 9918",,,2025-12-25,369000,-1,58572,Cáceres,madrid#,100!!!,3347,135000,"Rocky Mountaineer",,"{Agua,""Asientos reclinables"",Wifi,Comida,Baño,TV}",{},,"{Jaén,Barcelona,Cádiz,""El Puerto de Santa María""}"
"Lourdes Gamboa Villalpando",19954076,0,jazmine.hamill@viajes.cl,"\+56 9 7707 6070","56 8 3749 6592",,,2025-07-06,209000,-2,32482,Pamplona,"La Línea de la Concepción",54,2113,159000,"Southwest Airlines",,{},"{""Cornellá de Llobregat"",Algeciras,Alcoy}","Clase ejecutiva",{}
"Teresa Magaña Saucedo",99.999.999-K,2,noble.hagenes@viajes.cl,"\+56 9 5024 1222","56 3 9162 6119",,,2026-04-14,962000,-10,76872,Benidorm,córdoba#,2,2646,179000,Thalys,,"{""Aire acondicionado"",Calefacción,""Asientos reclinables"",Wifi,Comida}",{},,"{""Santa Coloma de Gramanet"",Elche,Valladolid}"
"José Delvalle Montez",2161201,4,correo_sin_arroba.com,"\+56 2 6467 5257",,,,2026-03-09,384000,-5,51574,Mérida,Torremolinos,29,183,105000,"Turkish Airlines",,{},{},"Clase ejecutiva",{}
"Enrique Melgar Corona",99.999.999-K,9,correo_sin_arroba.com,"\+56 2 0221 4702","56 8 5158 4069",,,2026-03-12,630000,-6,41175,Valladolid,cuenta#,35,301,51000,BoltBus,Semi-cama,"{Wifi,Comida,Baño}",{},,{}
"Sergio Cazares Carrion",15792243,9,sara@viajes.cl,"\+56 9 4636 8239",Nocturno,"Más vida","Part time",2026-06-22,27/7/2020,9,64994,Telde,badajoz#,48!!!,629,200000,FlixBus,Cama,"{Agua,Calefacción,""Asientos reclinables""}",{},,{}
"Gregorio Vera Echevarría",99.999.999-K,9,van@viajes.cl,"\+56 2 6223 6388",Diurno,"Más vida","Full time",2026-05-23,19/8/2025,-9,28090,"Dos Hermanas",Ponferrada,89!!!,2077,79000,AVE,,"{TV,Calefacción,""Aire acondicionado"",Wifi}",{},,{}
"Sra. María del Carmen Banda Laboy",8469916,9,carma@turket.com,"\+56 9 2289 0056",,,,2026-02-16,12/10/2022,-4,59950,Lérida,parla#,59!!!,1590,116000,"Rocky Mountaineer",,"{Comida,""Aire acondicionado"",Calefacción,""Asientos reclinables""}",{},,"{Torrevieja,Almería,Almería,""Santa Lucía de Tirajana""}"
"Lorena Espinosa Perea",99.999.999-K,9,craig_wunsch@marmol.com,"\+56 9 5167 8923",,,,2025-03-05,860000,5,45090,Irún,arrecife#,48,536,134000,"Omnibus de México",Cama,"{Wifi,Agua,TV}",{},,{}
"Lola Mesa Sanches",13950488,6,neal_stokes@waldo.com,"\+56 2 8893 5611",,,,2025-10-03,21/10/2026,2,66844,"Ciudad Real","El Ejido",40!!!,138,9000,"Buses Nilahue",Normal,"{TV,Agua,Baño}",{},,{}
"Sta. Timoteo Jimínez Viera",99.999.999-K,2,bernardine@viajes.cl,"\+56 2 5109 0635","56 8 2970 2422",Colmena,"Full time",2026-03-27,180000,-5,36695,Inca,Calahorra,54,2341,224000,Qantas,,{},{},"Clase ejecutiva",{}
"Javier Borrego Lozano",22959923,1,janel@outlook.com,"\+56 9 0597 4032",,,,2026-05-22,596000,9,14789,Torrelavega,gecho#,48,704,159000,Monbus,Cama,"{""Aire acondicionado"",Baño,Comida}",{},,{}
"Lucia Jiménez Navarrete",99.999.999-K,7,roxana@waldo.com,"\+56 9 9324 2794","56 5 2098 9792",,,2026-12-15,916000,-5,94922,Vitoria,Santander,55!!!,2642,289000,WestJet,,{},"{Bilbao,Madrid}","Primera clase",{}
"Sta. Alfonso Gutiérrez Ceballos",99.999.999-K,0,correo_sin_arroba.com,"\+56 2 3088 4941","56 9 6884 3388",,,2026-12-15,25/10/2025,-5,35312,Marbella,badalona#,55,492,78000,"LATAM Airlines",,{},"{Motril,Almería,""El Puerto de Santa María"",Getafe,""Molina de Segura""}","Clase ejecutiva",{}
"Sra. Claudio Terán Fonseca",25886484,1,correo_sin_arroba.com,"\+56 9 5511 3633","56 4 6178 8417",Banmédica,"Full time",2025-04-04,600000,-6,77098,Lérida,León,37,206,49000,Futura,Normal,"{TV,Calefacción,Comida}",{},,{}
"Jerónimo Cruz Valdez",18946101,2,correo_sin_arroba.com,"\+56 9 6828 6192","56 6 2828 8195",,,2026-09-15,19/9/2024,7,16284,Fuenlabrada,Logroño,7,3694,285000,Eurostar,,"{Calefacción,""Aire acondicionado"",Wifi,Baño,""Asientos reclinables"",Agua,Comida}",{},,"{Coslada,Tarragona}"
"Gilberto Velázquez Porras",7266955,8,ronna@waldo.com,"\+56 9 0528 7794",,,,2025-04-10,936000,-2,12290,León,"Cerdañola del Vallés",44!!!,414,76000,BoltBus,Semi-cama,"{""Aire acondicionado"",Wifi,TV}",{},,{}
"Sta. Arturo Anaya Villalpando",9951300,2,correo_sin_arroba.com,"\+56 2 2987 5174","56 4 8915 7652",,,2026-01-09,262000,-7,93896,Barcelona,Albacete,7,3016,355000,EasyJet,,{},"{Granollers,""Hospitalet de LLobregat"",Algeciras,Gerona}","Clase ejecutiva",{}
"Graciela Bahena Otero",99.999.999-K,2,correo_sin_arroba.com,"\+56 2 2036 7970",,,,2026-05-06,13/2/2027,4,60398,Reus,gecho#,30,703,73000,Turbus,Cama,"{""Asientos reclinables"",TV,""Aire acondicionado""}",{},,{}
"Emilia Abeyta Rivero",99.999.999-K,3,kandis@outlook.com,"\+56 2 0489 6673",,,,2025-06-22,426000,3,16393,Guadalajara,Ferrol,49!!!,628,67000,Monbus,Cama,"{Comida,Wifi,Agua}",{},,{}
"Lola Polanco Zarate",4806723,2,hae@viajes.cl,"\+56 9 1663 1233","56 2 9213 2870",Consalud,"Part time",2026-12-24,748000,-7,49599,"Cornellá de Llobregat",santander#,33!!!,355,40000,"Buses Nilahue",Semi-cama,"{Wifi,TV,Agua}",{},,{}
"Adela Zapata Vaca",20147437,5,clarisa.stehr@outlook.com,"\+56 9 3231 8144","56 9 4796 7813",,,2026-08-13,331000,-6,42978,Baracaldo,sagunto#,45!!!,373,66000,Megabus,Semi-cama,"{Comida,Agua,""Aire acondicionado""}",{},,{}
"Julio Hernández Saldaña",99.999.999-K,1,eddie.gorczany@viajes.cl,"\+56 9 8510 7841","56 4 1319 9522",Banmédica,"Full time",2026-02-11,7/2/2023,-3,53398,"La Línea de la Concepción",Elche,46!!!,525,143000,"Buses Bio Bio",Cama,"{""Asientos reclinables"",Calefacción,Comida}",{},,{}
"Claudio Duran Echevarría",17380580,2,arnold_flatley@viajes.cl,"\+56 9 5029 8243","56 8 4179 2648",,,2026-02-27,22/3/2022,4,18475,Algeciras,"pozuelo de alarcón#",35!!!,2005,63000,"Shinkansen (Japón)",,"{Agua,Comida,TV,""Asientos reclinables""}",{},,"{Rivas-Vaciamadrid,Toledo,Coslada,Almería}"
"Gonzalo Quiroz Llamas",15755695,1,correo_sin_arroba.com,"\+56 9 9109 1704",,,,2025-09-07,231000,2,6158,Gecho,"Sanlúcar de Barrameda",37,3894,224000,"ÖBB (Austria)",,"{""Asientos reclinables"",""Aire acondicionado"",Agua,TV,Wifi,Calefacción,Comida}",{},,{}
"Irene Soliz Negrón",17817183,1,lala_barton@viajes.cl,"\+56 2 3572 3888",Diurno,Fonasa,"Part time",2026-03-14,807000,-4,84970,Málaga,orihuela#,73,2751,225000,"Air Canada",,{},"{Córdoba,Albacete,""Santa Coloma de Gramanet""}","Clase ejecutiva",{}
"Débora Montero Rincón",99.999.999-K,2,correo_sin_arroba.com,"\+56 9 9775 8884",,,,2026-06-11,18/4/2023,8,5840,Salamanca,barcelona#,49,480,53000,FlixBus,Cama,"{Calefacción,""Asientos reclinables"",Agua}",{},,{}
"Ana Luisa Ozuna Mascareñas",9777463,7,yael@turket.com,"\+56 9 4568 6768","56 5 3907 1432",,,2025-08-24,295000,-2,19678,Móstoles,"San Fernando",40,4138,208000,"United Airlines",,{},{Elche},"Primera clase",{}
"Adán Maya Mayorga",99.999.999-K,4,earle_purdy@outlook.com,"\+56 2 2040 1703",,,,2025-02-20,5/9/2030,6,50720,Fuengirola,Gerona,88!!!,671,59000,"Wizz Air",,{},"{Gecho,Coslada}","Clase económica",{}
"Susana Blanco Tovar",10190607,6,correo_sin_arroba.com,"\+56 2 9354 3127","56 8 3655 4840",,,2025-04-23,30/11/2021,-7,90663,Lorca,Vitoria,8,585,105000,"Shinkansen (Japón)",,,{},,"{Fuengirola,""San Sebastián"",""La Línea de la Concepción""}"
"Rodrigo Alva Cortés",99.999.999-K,1,latoyia@viajes.cl,"\+56 2 7994 3125",Diurno,Fonasa,"Part time",2026-05-18,751000,-10,13453,Inca,ponferrada#,98,203,119000,Amtrak,,,{},,{León}
"Sra. Andrés Muro Quintana",18995041,1,eli_hickle@viajes.cl,"\+56 9 6244 7772",Diurno,Colmena,"Full time",2025-08-22,726000,-1,27002,Fuengirola,Jaén,1!!!,993,110000,Amtrak,,"{Wifi,Baño,TV}",{},,"{Viladecans,Santander,Getafe,Murcia}"
"Enrique Melgar Corona",17832821,9,correo_sin_arroba.com,"\+56 2 0221 4702","56 2 6304 8914",,,2026-10-21,1/12/2030,-8,11591,Almería,"sanlúcar de barrameda#",31,569,64000,"EME Bus",Semi-cama,"{TV,Baño,Comida}",{},,{}
"Adán Botello Orta",99.999.999-K,2,correo_sin_arroba.com,"\+56 2 9768 0924","56 7 3895 8645",,,2025-07-23,580000,-5,52046,Gandía,Sagunto,48,506,135000,"Crucero del Norte",Cama,"{""Asientos reclinables"",Comida,Agua}",{},,{}
"Samuel Carranza Cotto",99.999.999-K,3,correo_sin_arroba.com,"\+56 2 2655 0647","56 2 4793 9661",,,2025-03-05,168000,3,18735,Ávila,tarragona#,46,3381,172000,"JR Central",,"{Comida,Baño,Calefacción,TV,Agua,Wifi}",{},,"{Badalona,Palencia,Leganés}"
"Luz Sandoval Menéndez",99.999.999-K,6,ardith@turket.com,"\+56 2 7058 7625",,,,2026-03-27,526000,-1,56440,"Santa Cruz de Tenerife",Barcelona,32!!!,492,141000,Futura,Cama,"{Agua,Calefacción,TV}",{},,{}
"María del Carmen Miranda Rodríguez",29048218,0,tuan.schaden@viajes.cl,"\+56 9 8265 3966","56 3 1267 1851",,,2026-01-22,23/4/2028,6,27512,Zaragoza,puertollano#,29!!!,1667,84000,ScotRail,,"{Baño,Agua,TV,Calefacción}",{},,"{Pontevedra,""Alcalá de Henares"",Majadahonda,Inca}"
"Amalia Águilar Mata",99.999.999-K,4,correo_sin_arroba.com,"\+56 9 0018 1500","56 9 9075 5452",,,2026-01-26,20/8/2021,1,28946,Fuenlabrada,cartagena#,10!!!,1903,165000,KLM,,{},"{""Jerez de la Frontera"",Cáceres,Ávila,Cuenta}","Clase ejecutiva",{}
"Alejandro Arredondo Aguirre",99.999.999-K,5,tommie_smitham@outlook.com,"\+56 2 9103 1148","56 1 8991 7356",,,2026-10-08,896000,10,93736,Elche,almería#,41,373,54000,"El Rápido Internacional",Cama,"{Wifi,Comida,Agua}",{},,{}
"Carla Muñiz Leiva",99.999.999-K,6,correo_sin_arroba.com,"\+56 2 9793 0695","56 6 9243 4608",,,2026-02-14,689000,-9,77392,Cuenta,arrecife#,35,713,155000,"Buses Ahumada",Cama,"{Wifi,Calefacción,TV}",{},,{}
"Enrique Guzmán Jaimes",9879166,4,jeneva@viajes.cl,"\+56 9 3494 5163",Nocturno,Fonasa,"Part time",2026-04-17,29/4/2027,-4,32905,Manresa,Benidorm,84!!!,2877,140000,ScotRail,,"{Comida,""Aire acondicionado"",""Asientos reclinables"",TV,Calefacción}",{},,"{Valencia,Fuenlabrada,Alcorcón,""Roquetas de Mar""}"
"Benjamín Arenas Saiz",10145350,1,allan@turket.com,"\+56 9 1665 1414",,,,2026-04-08,359000,-6,36551,Benidorm,majadahonda#,18!!!,3775,266000,Thalys,,"{Baño,""Asientos reclinables"",""Aire acondicionado"",TV,Agua,Comida,Calefacción}",{},,"{""Talavera de la Reina"",Alicante}"
"Mateo Centeno Saldaña",99.999.999-K,3,correo_sin_arroba.com,"\+56 2 6147 1668",Diurno,"Más vida","Part time",2026-06-13,582000,10,84015,"Alcalá de Henares",marbella#,74,1604,51000,"TGV (SNCF)",,"{Wifi,Calefacción,""Asientos reclinables"",Agua}",{},,{}
"Sta. Esperanza Grijalva Alfaro",11976241,8,correo_sin_arroba.com,"\+56 9 9240 6605",,,,2025-02-06,821000,-7,9654,Leganés,Madrid,45!!!,495,101000,"Estrella Roja",Cama,"{Comida,Calefacción,""Asientos reclinables""}",{},,{}
"Sta. Mario Fierro Aponte",99.999.999-K,7,correo_sin_arroba.com,"\+56 9 4424 2495",,,,2025-06-25,16/12/2029,9,98671,Viladecans,Jaén,46!!!,3983,406000,ScotRail,,"{Baño,""Aire acondicionado"",Wifi,TV,""Asientos reclinables"",Agua,Comida}",{},,"{Lorca,""San Fernando""}"
"Gonzalo Medina Zepeda",25788146,0,correo_sin_arroba.com,"\+56 2 7836 4513","56 2 5116 1514",,,2026-05-22,29/7/2029,-6,11455,Lugo,"Santa Cruz de Tenerife",58,134,37000,"Singapore Airlines",,{},"{Murcia,Benalmádena,Benidorm}","Clase ejecutiva",{}
"Sergio Montemayor Vanegas",99.999.999-K,5,correo_sin_arroba.com,"\+56 2 6826 4640",,,,2025-02-21,120000,1,28441,"Sanlúcar de Barrameda",Bilbao,37!!!,422,71000,Futura,Cama,"{Wifi,Calefacción,Baño}",{},,{}
"Sta. Caridad Malave Casanova",99.999.999-K,9,correo_sin_arroba.com,"\+56 9 6562 4082",,,,2025-04-25,265000,9,67894,"San Fernando",Sevilla,99,871,82000,"LNER (London North Eastern Railway)",,"{Baño,Wifi,Calefacción}",{},,"{Gandía,Coslada,Manresa,Lorca}"
"José Luis Acuña Rojas",12489189,7,correo_sin_arroba.com,"\+56 2 8574 5733",,,,2026-02-07,336000,-4,79223,Bilbao,tarrasa#,73!!!,2122,139000,"Shinkansen (Japón)",,"{""Aire acondicionado"",Calefacción,TV,Comida}",{},,{Córdoba}
"Manuel Leiva Casanova",99.999.999-K,7,edmond.dach@viajes.cl,"\+56 9 9986 5237","56 2 5379 8324",,,2025-05-23,484000,-5,64514,Gijón,Madrid,75,3820,221000,"TGV (SNCF)",,"{Comida,TV,Baño,""Aire acondicionado"",Agua,""Asientos reclinables"",Calefacción}",{},,{}
"Sofia Bueno Mendoza",99.999.999-K,3,londa@marmol.com,"\+56 2 4525 9732",,,,2026-02-02,201000,-1,68911,Madrid,Zamora,49,609,86000,Damas,Cama,"{Calefacción,Wifi,Baño}",{},,{}
"Teodoro Rincón Riojas",99.999.999-K,5,correo_sin_arroba.com,"\+56 9 1372 8356","56 8 6145 3943","Más vida","Full time",2026-06-17,22/12/2020,10,14426,"Alcalá de Henares",Parla,68,3730,306000,AVE,,"{Calefacción,Baño,""Asientos reclinables"",Agua,TV,Wifi,Comida}",{},,{}
"Yolanda Caballero Sevilla",99.999.999-K,4,correo_sin_arroba.com,"\+56 9 1103 9148","56 6 5675 3470",,,2025-12-17,49000,4,97939,Gijón,marbella#,19,745,70000,"Via Rail (Canadá)",,"{""Asientos reclinables"",Baño,""Aire acondicionado""}",{},,"{Albacete,Murcia,""Hospitalet de LLobregat""}"
"Florencia Corona Rivas",9100417,4,correo_sin_arroba.com,"\+56 2 3876 3463","56 7 9757 7766","Más vida","Part time",2026-08-06,497000,-7,52520,Oviedo,"Sanlúcar de Barrameda",40!!!,2213,236000,"Brightline (EE.UU.)",,"{Comida,Calefacción,TV,Wifi,Agua}",{},,"{Reus,Gijón}"
"Verónica Montalvo Tapia",99.999.999-K,1,nolan_baumbach@turket.com,"\+56 2 9479 9088",,,,2025-04-22,8/10/2030,7,84591,"Alcalá de Guadaira",Cartagena,47,632,174000,"Buses Nilahue",Cama,"{""Aire acondicionado"",Wifi,Agua}",{},,{}
"Jorge Luis Valencia Flórez",99.999.999-K,5,kaylee@waldo.com,"\+56 9 1356 2306","56 2 7524 6846",,,2025-09-08,21/2/2025,-1,75473,Badalona,Alcorcón,63!!!,2837,294000,Thalys,,"{Calefacción,TV,Wifi,Agua,Baño}",{},,"{""Sanlúcar de Barrameda"",Ceuta,Ceuta,Vigo,Lérida}"
"Sta. Mario Aparicio Prieto",24765748,1,truman@marmol.com,"\+56 9 0843 2005",,,,2025-04-05,700000,-3,64202,Cuenta,cuenta#,24!!!,3030,386000,"SBB (Suiza)",,"{Wifi,Baño,""Aire acondicionado"",TV,Calefacción,Agua}",{},,"{Badalona,Ferrol}"
"Rosa Morales Salas",4280291,6,correo_sin_arroba.com,"\+56 2 7540 7175",Nocturno,Banmédica,"Part time",2025-07-29,211000,-7,60584,Gecho,ceuta#,63!!!,3526,147000,"LATAM Airlines",,{},{},"Clase ejecutiva",{}
"Gerardo Alvarado Soria",8785001,1,woodrow@turket.com,"\+56 9 7425 1168","56 9 1452 2640",,,2026-06-26,90000,-1,73644,Marbella,Oviedo,27,1830,141000,"Japan Airlines",,{},"{""Cornellá de Llobregat"",Cartagena,Vitoria,""Santa Cruz de Tenerife"",Málaga}","Clase ejecutiva",{}
"Alejandro Arredondo Aguirre",99.999.999-K,5,correo_sin_arroba.com,"\+56 2 9103 1148","56 5 9773 8732",,,2025-12-03,558000,10,84092,Elda,parla#,33!!!,452,59000,Plusmar,Semi-cama,"{Wifi,Comida,""Asientos reclinables""}",{},,{}
"Claudio Rocha Miranda",9731594,7,correo_sin_arroba.com,"\+56 2 2614 9249","56 2 4207 8035",,,2026-08-13,29/8/2026,-10,83061,Logroño,"Torrejón de Ardoz",80,3190,233000,Thalys,,"{Baño,TV,Wifi,""Aire acondicionado"",Agua,Calefacción}",{},,{Estepona}
